T15,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
242,Fiji,2005,Services (% of gross value added),69.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
242,Fiji,2010,Services (% of gross value added),69.9,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
242,Fiji,2015,Services (% of gross value added),70.6,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
242,Fiji,2018,Services (% of gross value added),67.1,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
242,Fiji,2019,Services (% of gross value added),66.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
242,Fiji,2020,Services (% of gross value added),61.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,1995,Industry (% of gross value added),33.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2005,Industry (% of gross value added),33.5,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2010,Industry (% of gross value added),29.9,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2015,Industry (% of gross value added),27.0,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2018,Industry (% of gross value added),27.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2019,Industry (% of gross value added),27.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2020,Industry (% of gross value added),27.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,1995,Services (% of gross value added),62.0,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2005,Services (% of gross value added),63.9,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2010,Services (% of gross value added),67.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2015,Services (% of gross value added),70.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2018,Services (% of gross value added),69.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2019,Services (% of gross value added),69.5,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
246,Finland,2020,Services (% of gross value added),69.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,1995,Industry (% of gross value added),24.9,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2005,Industry (% of gross value added),21.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2010,Industry (% of gross value added),19.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2015,Industry (% of gross value added),19.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2018,Industry (% of gross value added),19.3,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2019,Industry (% of gross value added),19.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2020,Industry (% of gross value added),18.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,1995,Services (% of gross value added),72.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2005,Services (% of gross value added),76.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2010,Services (% of gross value added),78.4,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2015,Services (% of gross value added),78.5,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2018,Services (% of gross value added),78.8,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2019,Services (% of gross value added),78.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
250,France,2020,Services (% of gross value added),79.8,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.4,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.6,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,1995,Industry (% of gross value added),12.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2005,Industry (% of gross value added),12.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2010,Industry (% of gross value added),12.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2015,Industry (% of gross value added),12.0,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2018,Industry (% of gross value added),11.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2019,Industry (% of gross value added),11.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2020,Industry (% of gross value added),11.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,1995,Services (% of gross value added),82.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2005,Services (% of gross value added),83.9,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2010,Services (% of gross value added),85.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2015,Services (% of gross value added),84.4,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2018,Services (% of gross value added),84.6,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2019,Services (% of gross value added),84.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
258,French Polynesia,2020,Services (% of gross value added),84.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.8,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.0,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,1995,Industry (% of gross value added),54.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2005,Industry (% of gross value added),62.6,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2010,Industry (% of gross value added),59.6,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2015,Industry (% of gross value added),51.9,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2018,Industry (% of gross value added),49.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2019,Industry (% of gross value added),49.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2020,Industry (% of gross value added),41.3,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,1995,Services (% of gross value added),38.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2005,Services (% of gross value added),32.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2010,Services (% of gross value added),36.2,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2015,Services (% of gross value added),43.4,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2018,Services (% of gross value added),44.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2019,Services (% of gross value added),44.5,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
266,Gabon,2020,Services (% of gross value added),51.7,Data classified according to ISIC Rev. 4.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",23.0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",34.0,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",37.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",24.3,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",21.7,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",22.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,1995,Industry (% of gross value added),12.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2005,Industry (% of gross value added),12.2,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2010,Industry (% of gross value added),10.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2015,Industry (% of gross value added),18.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2018,Industry (% of gross value added),18.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2019,Industry (% of gross value added),18.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2020,Industry (% of gross value added),20.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,1995,Services (% of gross value added),64.3,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2005,Services (% of gross value added),53.8,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2010,Services (% of gross value added),52.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2015,Services (% of gross value added),56.9,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2018,Services (% of gross value added),59.6,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2019,Services (% of gross value added),59.5,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
270,Gambia,2020,Services (% of gross value added),56.6,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",48.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",18.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.8,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.4,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
268,Georgia,1995,Industry (% of gross value added),12.0,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
