T09,"Teaching staff at the primary, secondary and upper secondary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2005,Teachers at secondary level (thousands),"1,172",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2005,Teachers with minimum required qualifications at secondary level,78.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2005,Teachers at upper secondary level (thousands),463,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2010,Teachers at primary level (thousands),"3,168",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at primary level,69.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2010,Teachers at secondary level (thousands),"1,868",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at secondary level,60.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2010,Teachers at upper secondary level (thousands),747,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at upper secondary level,52.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2015,Teachers at primary level (thousands),"4,113",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at primary level,65.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2015,Teachers at secondary level (thousands),"2,726",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at secondary level,57.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2015,Teachers at upper secondary level (thousands),"1,148",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at upper secondary level,58.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2019,Teachers at primary level (thousands),"4,737",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at primary level,66.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2019,Teachers at secondary level (thousands),"3,058",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at secondary level,61.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2019,Teachers at upper secondary level (thousands),"1,386",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at upper secondary level,64.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2020,Teachers at primary level (thousands),"4,862",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
202,Sub-Saharan Africa,2020,Teachers at secondary level (thousands),"3,165",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2005,Teachers at primary level (thousands),"1,865",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2005,Teachers at secondary level (thousands),"1,774",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2005,Teachers at upper secondary level (thousands),829,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2010,Teachers at primary level (thousands),"1,886",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2010,Teachers at secondary level (thousands),"1,861",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2010,Teachers at upper secondary level (thousands),928,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2015,Teachers at primary level (thousands),"1,847",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2015,Teachers at secondary level (thousands),"1,803",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2015,Teachers at upper secondary level (thousands),912,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2020,Teachers at primary level (thousands),"1,852",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2020,Teachers at secondary level (thousands),"1,872",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
21,Northern America,2020,Teachers at upper secondary level (thousands),943,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2005,Teachers at primary level (thousands),"2,945",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2005,Teachers at secondary level (thousands),"3,475",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2005,Teachers at upper secondary level (thousands),"1,437",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2007,Teachers at primary level (thousands),"2,877",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2007,Teachers with minimum required qualifications at primary level,81.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2007,Teachers at secondary level (thousands),"3,248",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2007,Teachers with minimum required qualifications at secondary level,84.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2007,Teachers at upper secondary level (thousands),"1,388",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2007,Teachers with minimum required qualifications at upper secondary level,84.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2010,Teachers at primary level (thousands),"2,924",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2010,Teachers with minimum required qualifications at primary level,80.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2010,Teachers at secondary level (thousands),"3,554",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2010,Teachers at upper secondary level (thousands),"1,557",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2012,Teachers at primary level (thousands),"2,957",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2012,Teachers with minimum required qualifications at primary level,81.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2012,Teachers at secondary level (thousands),"3,672",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2012,Teachers with minimum required qualifications at secondary level,85.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2012,Teachers at upper secondary level (thousands),"1,622",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2012,Teachers with minimum required qualifications at upper secondary level,87.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2015,Teachers at primary level (thousands),"3,017",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2015,Teachers with minimum required qualifications at primary level,82.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2015,Teachers at secondary level (thousands),"3,886",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2015,Teachers with minimum required qualifications at secondary level,84.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2015,Teachers at upper secondary level (thousands),"1,755",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Teachers at primary level (thousands),"3,024",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Teachers with minimum required qualifications at primary level,82.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Teachers at secondary level (thousands),"3,931",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Teachers with minimum required qualifications at secondary level,78.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Teachers at upper secondary level (thousands),"1,865",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2020,Teachers at primary level (thousands),"3,049",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2020,Teachers at secondary level (thousands),"3,938",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
419,Latin America & the Caribbean,2020,Teachers at upper secondary level (thousands),"1,860",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2005,Teachers at primary level (thousands),243,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2005,Teachers with minimum required qualifications at primary level,94.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2005,Teachers at secondary level (thousands),815,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2005,Teachers with minimum required qualifications at secondary level,90.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2010,Teachers at primary level (thousands),226,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2010,Teachers with minimum required qualifications at primary level,96.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2010,Teachers at secondary level (thousands),762,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2010,Teachers with minimum required qualifications at secondary level,95.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2015,Teachers at primary level (thousands),253,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2015,Teachers with minimum required qualifications at primary level,99.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
143,Central Asia,2015,Teachers at secondary level (thousands),794,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
